Ferret r estimate	Rabbit r estimate	Guinea pig r estimate	Dog r estimate
-13	10	31	0
6	21	40	9
20	23	45	16
-51	-31	-11	-39
-2147483648	-2147483648	-2147483648	-2147483648
-2147483648	-2147483648	-2147483648	-2147483648
-4	-1	19	-11
-2147483648	-2147483648	-2147483648	-2147483648
-2147483648	-2147483648	-2147483648	-2147483648
-2147483648	-2147483648	-2147483648	-2147483648
46	51	70	39
-2147483648	-2147483648	-2147483648	-2147483648
-2147483648	-2147483648	-2147483648	-2147483648
-23	-15	6	-26
-26	10	31	1
-2147483648	-2147483648	-2147483648	-2147483648
-2147483648	-2147483648	-2147483648	-2147483648
-2147483648	-2147483648	-2147483648	-2147483648
-41	-21	1	-31
-12	10	30	1
-25	-16	6	-23
21	34	53	25
-2147483648	-2147483648	-2147483648	-2147483648
-26	-11	11	-21
-32	-15	7	-24
16	38	56	27
-2147483648	-2147483648	-2147483648	-2147483648
-2147483648	-2147483648	-2147483648	-2147483648